@relation TableS1_Prestwick_STRINGWithNames_Unique_ATC_padel2d_pos_WithoutNans50-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute ATSC2i numeric
@attribute MATS3m numeric
@attribute MATS3e numeric
@attribute GATS3m numeric
@attribute GATS7m numeric
@attribute GATS5e numeric
@attribute GATS7e numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute EE_Dt numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute MIC0 numeric
@attribute MPC9 numeric
@attribute TSRW numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data
0.028431,0.218232,0.546417,0.427457,0.578892,0.771511,0.310126,0.47163,0.29381,0.307518,0.159149,0.515935,0.421739,0.663746,0.851209,0.851209,0.196048,0.066479,0.616529,0.171737,0,1
0.027943,0.399141,0.410057,0.650086,0.797422,0.530093,0.271222,0.33046,0.255783,0.363169,0.017713,0.577897,0.42577,0.734424,0.874047,0.902038,0.151565,0.066948,0.586062,0.113641,0,1
0.026464,0.235829,0.563795,0.437032,0.603543,0.606862,0.215977,0.381123,0.232688,0.380121,0.159165,0.510118,0.333252,0.643319,0.921699,0.921699,0.284629,0.064139,0.616439,0.2657,0,1
0.087901,0.298526,0.126594,0.627903,0.664266,0.474681,0.251274,0.293742,0.313611,0.361827,0.159156,0.654102,1,0.664625,0.547347,0.557735,0.163046,0.090356,0.688216,0.110007,0.065695,1
0.033061,0.201816,0.636346,0.618374,0.544617,0.528411,0.238668,0.411476,0.304098,0.377707,0.159149,0.61447,0.717722,0.732653,0.877199,0.877199,0.157301,0.098783,0.627832,0.165942,0,1
0.123106,0.257537,0.508818,0.61372,0.666524,0.474146,0.221102,0.298434,0.149787,0.397358,0.574957,0.762037,0.260337,0.575244,0.925362,0.908312,0.405244,0.042603,0.515873,0.408123,0,1
0.05049,0.24122,0.662164,0.597507,0.60502,0.362316,0.187055,0.18295,0.169202,0.289605,0.185709,0.357861,0.475429,0.57768,0.704222,0.740497,0.25407,0.070225,0.529921,0.200268,0.008813,1
0.039892,0.219894,0.597223,0.650384,0.574384,0.460273,0.251513,0.389313,0.216192,0.474258,0.159176,0.640212,0.507951,0.67583,0.914945,0.90523,0.357421,0.103933,0.68151,0.326624,0,1
0.050581,0.191029,0.547936,0.645783,0.584572,0.516649,0.26094,0.247687,0.313018,0.438599,0.01774,0.560771,1,0.835705,0.849149,0.853727,0.109439,0.230805,0.738481,0.120397,0,1
0.024988,0.240536,0.577985,0.468943,0.558205,0.567701,0.209969,0.229801,0.228038,0.365007,0.185696,0.804047,0.34226,0.583964,0.761117,0.755342,0.084073,0.057116,0.514813,0.130484,0,1
0.010868,0.069633,0.552707,0.4267,0.230691,0.52865,0.31832,0.293598,0.291384,0.399083,0.017704,0.540129,0.43829,0.568875,0.831812,0.84612,0.107175,0.098315,0.565808,0.252874,0,1
0.018803,0.290049,0.463021,0.757085,0.708979,0.411456,0.310611,0.34708,0.361892,0.387471,0.044243,0.594407,0.450589,0.65892,0.879753,0.879753,0.154874,0.118914,0.616614,0.155299,0,1
0.091715,0.300406,0.379557,0.585445,0.660023,0.49086,0.223136,0.295338,0.291391,0.350002,0.185701,0.58223,?,0.966852,0.904941,0.921627,0.193037,0.439139,0.83077,0.189498,0,1
0.025928,0.258847,0.404591,0.481521,0.656492,0.547456,0.268406,0.347232,0.270177,0.434229,0.159158,0.473247,0.366675,0.668015,0.952264,0.952264,0.303941,0.062266,0.595601,0.2858,0,1
0.037673,0.303104,0.551555,0.674938,0.715944,0.464217,0.243073,0.355609,0.313586,0.344785,0.159158,0.635583,0.729918,0.749922,0.92607,0.919197,0.262823,0.118446,0.676291,0.24058,0,1
0.016247,0.186108,0.426637,0.419389,0.468975,0.637378,0.250821,0.250141,0.29605,0.256014,0.159149,0.457097,0.164632,0.546241,0.882444,0.882444,0.269416,0.019663,0.43914,0.228494,0,1
0.028685,0.234968,0.476861,0.431262,0.587936,0.613106,0.205732,0.407441,0.283314,0.423808,0.159167,0.642939,0.39492,0.637629,0.929972,0.929972,0.344369,0.070693,0.592131,0.323341,0,1
0.030464,0.222948,0.522323,0.663527,0.574992,0.621354,0.297554,0.364758,0.335829,0.348791,0.159149,0.681461,0.504476,0.665896,0.818798,0.818798,0.180623,0.102996,0.610377,0.146311,0,1
0.009219,0.268481,0.54392,0.676031,0.737963,0.480425,0.291165,0.39841,0.343071,0.376669,0.01765,0.626883,0.151005,0.551347,0.867776,0.867776,0.106496,0.014513,0.408028,0.134963,0,1
0.01948,0.242429,0.52115,0.251655,0.613778,0.887622,0.202317,0.443196,0.276958,0.352976,0.159149,0.626305,0.251993,0.577465,0.842171,0.842171,0.201644,0.036049,0.578818,0.185566,0,1
0.01847,0.257912,0.66133,0.704157,0.647943,0.396996,0.291461,0.334791,0.326927,0.413831,0.017709,0.67855,0.670641,0.669382,0.895515,0.895515,0.140792,0.183521,0.67726,0.194679,0,1
0.027441,0.240079,0.682591,0.565788,0.512023,0.580879,0.355285,0.243835,0.309394,0.269503,0.159161,0.780403,0.417002,0.602133,0.826671,0.826671,0.134705,0.084738,0.511547,0.147474,0,1
0.042193,0.150517,0.688288,0.541585,0.537945,0.442692,0.260176,0.321797,0.310996,0.398817,0.185692,0.570595,0.696059,0.766723,0.918133,0.924551,0.246668,0.195693,0.730621,0.249859,0.074027,1
