@relation amps_padel2d_WithoutNans50_WithoutNames-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute ATSC2i numeric
@attribute MATS3m numeric
@attribute MATS3e numeric
@attribute GATS3m numeric
@attribute GATS7m numeric
@attribute GATS5e numeric
@attribute GATS7e numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute EE_Dt numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute MIC0 numeric
@attribute MPC9 numeric
@attribute TSRW numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data
0.388668,0.713089,0.35757,0.608475,0.821463,0.736223,0.593604,0.784181,0.859919,0.487776,0.000529,0.799567,0,0.386995,0.335594,0.351703,0.033753,0.226008,0.509139,0.090262,0.044463,1
0.443509,0.551797,0.32849,0.49922,0.585873,0.748269,0.49863,0.553245,0.443645,0.362654,0.999361,0.226277,0,0.685743,0.652731,0.598177,0.220068,0.212947,0.556887,0.35646,0.066663,1
0.290915,0.508592,0.406657,0.515391,0.564977,0.751022,0.482491,0.466164,0.437142,0.476331,0.00077,0.483639,0,0.642226,0.754285,0.666933,0.203764,0.11925,0.382586,0.379206,0.020018,1
0.54,0.507412,0.264828,0.365604,0.525929,0.810803,0.478112,0.42792,0.471171,0.500215,0.999362,0.466098,0,0.660356,0.537974,0.531124,0.257622,0.235094,0.62437,0.4438,0.143565,1
0.425498,0.652319,0.350662,0.512774,0.686266,0.764102,0.508306,0.673493,0.454493,0.454545,0.001119,0.236407,0,0.687021,0.610773,0.597217,0.140233,0.248722,0.593113,0.319418,0.07148,1
0.004253,0.518355,0.544141,0.749402,0.72609,0.599409,0.651294,0.54227,0.368321,0.677612,0.000859,0.912832,0,0.593816,0.710532,0.731521,0.268408,0.265758,0.562425,0.312358,0.062023,1
0.371113,0.538876,0.337568,0.507348,0.587267,0.733096,0.481679,0.476307,0.436596,0.480493,0.999361,0.106918,0,0.528186,0.569864,0.511645,0.254712,0.136286,0.44695,0.340221,0.036169,1
0.327503,0.423052,0.440701,0.394004,0.454026,0.810271,0.439432,0.454023,0.351635,0.444898,0.000844,0.614679,0,0.71413,0.76781,0.697616,0.22321,0.16184,0.450128,0.446604,0.029871,1
0.228582,0.505417,0.50833,0.465805,0.616412,0.765896,0.377568,0.651724,0.696041,0.481181,0.000009,0.798752,0,0.628833,0.725175,0.705486,0.106197,0.279955,0.475378,0.511771,0.011532,1
0.359094,0.475878,0.414233,0.444996,0.517007,0.78174,0.447093,0.428174,0.514936,0.493882,0.000854,0.236758,0,0.799238,0.779046,0.74135,0.198852,0.267462,0.541397,0.52213,0.046496,1
0.002063,0.510937,0.556222,0.780143,0.760706,0.6424,0.722966,0.609494,0.447391,0.786433,0.000464,0.912923,0,0.622259,0.764318,0.797424,0.198963,0.262919,0.526142,0.278686,0.042105,1
0.247728,0.403876,0.482179,0.363408,0.412363,0.839655,0.437406,0.503455,0.386078,0.494714,0.000258,0.463355,0,0.515416,0.643837,0.59073,0.199469,0.088018,0.30328,0.326734,0.01107,1
0.247285,0.557782,0.434854,0.524921,0.669998,0.761086,0.494138,0.618251,0.367848,0.384418,0.000445,0.472302,0,0.520331,0.659715,0.592775,0.13491,0.080068,0.33865,0.286031,0.01228,1
0.373297,0.640146,0.340339,0.547,0.708418,0.723532,0.514453,0.546716,0.496725,0.528078,0.999361,0.774361,0,0.486226,0.489784,0.471494,0.236465,0.11414,0.453005,0.300355,0.040168,1
0.032799,0.517949,0.505626,0.556521,0.570092,0.339412,0.351251,0.381651,0.306386,0.360692,0.999362,0.25501,?,0.849865,0.687875,0.735855,0.457993,0.637138,0.901445,0.540935,0.615202,1
0.253609,0.308839,0.409234,0.379416,0.29592,0.740739,0.416352,0.384229,0.057539,0.300487,0.999361,0.163867,0,0.62553,0.788418,0.723305,0.378461,0.108461,0.328319,0.684249,0.010929,1
0.284748,0.530799,0.404498,0.526821,0.603448,0.702548,0.490838,0.558994,0.336598,0.341012,0.999361,0.247022,0,0.553096,0.681685,0.609612,0.275843,0.084611,0.355046,0.370695,0.014959,1
0.343671,0.523258,0.405505,0.497933,0.591686,0.695877,0.468019,0.550171,0.499554,0.299395,0.999424,0.843657,0,0.763618,0.794353,0.753558,0.320149,0.197615,0.4786,0.528329,0.02797,1
0.235235,0.573009,0.441809,0.575838,0.707373,0.730319,0.520391,0.666225,0.416969,0.368139,0.00038,0.496421,0,0.541747,0.672095,0.626147,0.12807,0.08745,0.322216,0.274995,0.009454,1
0.041918,0.445564,0.521009,0.487407,0.487886,0.276073,0.293466,0.344018,0.37189,0.221227,0.999488,0.485652,0,0.613655,0.680183,0.694034,0.697757,0.232822,0.626572,0.462987,0.116826,1
0.245298,0.601626,0.427449,0.603131,0.768422,0.737806,0.549319,0.799988,0.519423,0.409093,0.000255,0.825354,0,0.485917,0.587734,0.556856,0.093441,0.09029,0.324765,0.185171,0.011194,1
0.381237,0.676536,0.373308,0.609645,0.782428,0.720649,0.536927,0.688512,0.822123,0.396959,0.000531,0.912919,0,0.654118,0.59495,0.588128,0.061869,0.274276,0.548513,0.262789,0.049257,1
0.004034,0.450366,0.53108,0.553985,0.509991,0.599212,0.546215,0.385756,0.252439,0.363786,0.000976,0.467746,0,0.569631,0.722816,0.757819,0.390513,0.185122,0.490633,0.326392,0.040071,1
