@relation TableS1_Prestwick_STRINGWithNames_Unique_ATC_padel2d_pos_WithouNans50_WithoutNames-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute ATS1m numeric
@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute MATS5c numeric
@attribute MATS3m numeric
@attribute MATS3e numeric
@attribute GATS1c numeric
@attribute GATS3m numeric
@attribute GATS5m numeric
@attribute GATS7m numeric
@attribute GATS5e numeric
@attribute GATS6e numeric
@attribute GATS7e numeric
@attribute GATS4p numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute EE_Dt numeric
@attribute VR2_Dt numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute MIC0 numeric
@attribute RotBtFrac numeric
@attribute EE_D numeric
@attribute MWC10 numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data
0.059864,0.01446,0.246377,0.644884,0.550763,0.619447,0.29354,0.467342,0.233262,0.519868,0.296215,0.296745,0.394883,0.582735,0.325954,0.185692,0.501774,0.075911,0.000002,0.4811,0.882674,0.882674,0.300112,0.571429,0.051286,0.394113,0.236652,0,1
0.123894,0.018417,0.201611,0.509928,0.392554,0.346016,0.527912,0.732161,0.234798,0.330741,0.418007,0.139613,0.655475,0.491819,0.226555,0.159158,0.751547,0.125787,0.000015,0.491746,0.876464,0.853492,0.322877,0.277778,0.08033,0.449274,0.282317,0,1
0.109675,0.014005,0.13975,0.603312,0.403929,0.304392,0.49759,0.636002,0.310286,0.230093,0.245858,0.190753,0.292469,0.477096,0.359474,0.017668,0.506047,0.248967,0.000003,0.520645,0.742741,0.742741,0.16286,0.5,0.157954,0.47272,0.159318,0,1
0.148891,0.030413,0.265099,0.586558,0.58589,0.662196,0.419894,0.675794,0.379115,0.31235,0.26667,0.148064,0.1977,0.638407,0.490462,0.159149,0.1885,0.290781,0.000004,0.529574,0.649735,0.649735,0.19761,0.428571,1,0.647153,0.140518,0.012979,1
0.225438,0.033697,0.337486,0.63492,0.600889,0.718194,0.400607,0.543332,0.345674,0.244178,0.326936,0.19567,0.273308,0.541751,0.348592,0.017743,0.571057,0.580946,0.00001,0.743018,0.859317,0.871161,0.170153,0.52381,0.355123,0.683366,0.144248,0,1
0.118773,0.015644,0.190952,0.455448,0.448114,0.326349,0.579282,0.66409,0.360994,0.320323,0.471258,0.175915,0.794586,0.503265,0.327086,0.159149,0.750759,0.160314,0.000005,0.53127,0.862605,0.844887,0.230719,0.3,0.09937,0.469007,0.200089,0,1
0.121376,0.01472,0.212196,0.655779,0.500078,0.46718,0.486688,0.636096,0.309395,0.25369,0.33893,0.171867,0.333915,0.552902,0.312187,0.159149,0.610171,0.15897,0.000004,0.536218,0.896733,0.87753,0.261487,0.3,0.105732,0.45553,0.231824,0,1
0.170157,0.026777,0.422242,0.602248,0.659032,0.816718,0.388577,0.519757,0.35289,0.261042,0.313093,0.174748,0.262743,0.458525,0.33946,0.017722,0.55986,0.404884,0.000017,0.736466,0.879452,0.924657,0.154282,0.484848,0.231795,0.616901,0.124937,0,1
0.350801,0.048449,0.194352,0.542986,0.625389,0.583702,0.349768,0.529277,0.300184,0.251018,0.249334,0.200992,0.293668,0.42011,0.444005,0.017731,0.560792,1,0.000016,0.816991,0.840601,0.839297,0.107397,0.287879,0.709312,0.787695,0.119375,0,1
0.364762,0.057384,0.088669,0.463113,0.536686,0.53176,0.357355,0.598533,0.375777,0.261868,0.36284,0.1532,0.302826,0.471936,0.365404,0.017787,0.59323,1,0.000039,0.889781,0.865783,0.896984,0.096675,0.283582,0.968182,0.668703,0.109466,0,1
