@relation amps_padel2d_WithoutNans50_WithoutNames-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute ATS1m numeric
@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute MATS5c numeric
@attribute MATS3m numeric
@attribute MATS3e numeric
@attribute GATS1c numeric
@attribute GATS3m numeric
@attribute GATS5m numeric
@attribute GATS7m numeric
@attribute GATS5e numeric
@attribute GATS6e numeric
@attribute GATS7e numeric
@attribute GATS4p numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute EE_Dt numeric
@attribute VR2_Dt numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute MIC0 numeric
@attribute RotBtFrac numeric
@attribute EE_D numeric
@attribute MWC10 numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data
0.399686,0.420519,0.474204,0.45019,0.382318,0.513149,0.653354,0.805092,0.557514,0.391935,0.504822,0.431928,0.645167,0.265781,0.510589,0.000744,0.936822,?,?,0.675392,0.587341,0.584635,0.164102,0.276928,1,0.727582,0.612084,0.08629,1
0.084771,0.223559,0.606214,0.605705,0.635407,0.831558,0.782622,0.71781,0.602478,0.58047,0.740168,0.815997,0.734198,0.159449,0.401271,0.000066,0.836117,0,0.001493,0.432966,0.578377,0.526031,0.044515,0.864624,1,0.310038,0.109145,0.006722,1
0.21494,0.343399,0.442482,0.496044,0.423511,0.47849,0.76659,0.725857,0.452969,0.422318,0.462752,0.389573,0.420035,0.149339,0.396451,0.999424,0.012927,0,0.002498,0.713094,0.753862,0.710216,0.344411,0.662854,1,0.48342,0.518557,0.024609,1
0.116598,0.234507,0.543187,0.655252,0.383439,0.674141,0.66297,0.823132,0.57041,0.516394,0.625482,0.703095,0.646294,0.07291,0.426567,0.000255,0.26579,0,0.00781,0.537612,0.641507,0.615491,0.061027,0.603516,1,0.407864,0.307431,0.0103,1
0.572639,0.036921,0.454798,0.547953,0.505346,0.49953,0.231321,0.304594,0.335264,0.485617,0.397508,0.185841,0.278798,0.614312,0.374011,0.999425,0.170716,0,0.005334,0.68684,0.595144,0.664467,0.517966,0.830212,1,0.760213,0.360668,0.305889,1
0.396941,0.539701,0.46373,0.583442,0.452391,0.492002,0.705564,0.74121,0.511808,0.499624,0.476023,0.441425,0.347224,0.113962,0.414184,0.999425,0.224997,0,0.004853,0.563668,0.532551,0.462026,0.308342,0.900974,1,0.627785,0.431585,0.109817,1
0.345572,0.030928,0.460512,0.662675,0.51819,0.519729,0.166962,0.375106,0.182466,0.263498,0.339524,0.159759,0.353174,0.594872,0.199846,0.999425,0.490187,0,0.003492,0.605714,0.674331,0.699789,0.633483,0.858218,1,0.633655,0.452576,0.107079,1
0.497883,0.01475,0.386642,0.545379,0.444389,0.389331,0.216421,0.588613,0.415761,0.568539,0.313729,0.142408,0.275673,0.604178,0.22345,0.003022,0.247832,0,0.00551,0.61934,0.582059,0.630869,0.470384,0.887382,1,0.724642,0.424727,0.236937,1
0.371373,0.485633,0.414425,0.673509,0.350271,0.450034,0.693387,0.762926,0.443884,0.466548,0.451669,0.363433,0.462821,0.135701,0.380757,0.999488,0.524568,0,0.008366,0.758603,0.687624,0.659577,0.386655,0.651211,1,0.602607,0.61544,0.088187,1
0.204439,0.313281,0.593997,0.794791,0.410464,0.696539,0.705168,0.821461,0.558279,0.558121,0.582455,0.665539,0.675375,0.150694,0.420958,0.000583,0.610515,0,0.004104,0.580566,0.605568,0.579162,0.097027,0.653043,1,0.494613,0.329044,0.029325,1
0.174601,0.302716,0.53544,0.700354,0.3853,0.614541,0.723743,0.788169,0.596196,0.436185,0.542498,0.439229,0.486319,0.127942,0.460572,0.999361,0.779131,0,0.00208,0.6874,0.723045,0.709355,0.255855,0.673035,1,0.451631,0.400869,0.023833,1
0.103818,0.246764,0.607982,0.471046,0.650576,0.773862,0.795191,0.71602,0.713616,0.559439,0.803117,0.549789,0.489415,0.127476,0.441544,0.000255,0.825122,0,0.000959,0.40175,0.499953,0.477115,0.098976,0.96473,1,0.338748,0.132938,0.010601,1
0.173838,0.31701,0.672807,0.674216,0.523498,0.837257,0.819634,0.795689,0.675093,0.633757,0.810469,0.919667,0.907648,0.043832,0.51627,0.000326,0.799588,0,0.004345,0.162753,0.181904,0.19588,0.010961,0.989027,1,0.419036,0.009419,0.021933,1
0.385647,0.472764,0.618739,0.791239,0.43539,0.646717,0.718361,0.807636,0.530929,0.512563,0.527929,0.536913,0.668313,0.099295,0.533947,0.00107,0.460513,0,0.00367,0.451402,0.371282,0.373016,0.1505,0.697438,1,0.628032,0.337308,0.098406,1
0.484458,0.587109,0.402047,0.500888,0.429913,0.449241,0.711622,0.766754,0.502051,0.434092,0.45217,0.352334,0.291613,0.156286,0.434232,0.999362,0.248851,0,0.005691,0.718885,0.625164,0.561805,0.282497,0.817726,1,0.672655,0.474461,0.158635,1
0.224586,0.32207,0.166792,0.320976,0.265626,0.183426,0.753305,0.851628,0.523414,0.359148,0.408192,0.172238,0.142251,0.226525,0.508243,0.001229,0.165585,0,0.00502,0.634525,0.628301,0.639399,0.318398,0.646039,1,0.479209,0.659897,0.029226,1
0.250488,0.37703,0.674163,0.488672,0.552175,0.741881,0.629831,0.709879,0.599198,0.483384,0.639421,0.474879,0.487929,0.090339,0.395391,0.999361,0.794672,0,0.00366,0.616974,0.61731,0.58235,0.216805,0.752021,1,0.538571,0.352722,0.041753,1
0.11245,0.237779,0.59041,0.608783,0.605411,0.773933,0.738175,0.722244,0.567277,0.544635,0.65162,0.681851,0.663433,0.196566,0.374288,0.000131,0.812408,0,0.005668,0.608455,0.730921,0.677963,0.086354,0.716083,1,0.390234,0.229386,0.010493,1
