@relation hetero_trainingSetWithClass

@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute ATSC6e numeric
@attribute ATSC2i numeric
@attribute MATS3m numeric
@attribute MATS3e numeric
@attribute GATS3m numeric
@attribute GATS5m numeric
@attribute GATS7m numeric
@attribute GATS5e numeric
@attribute GATS7e numeric
@attribute GATS4p numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute EE_Dt numeric
@attribute VR2_Dt numeric
@attribute IC4 numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute MIC0 numeric
@attribute MPC9 numeric
@attribute TSRW numeric
@attribute AMW numeric
@attribute Class {0,1}

@data
13932.072567,0.027387,-0.241646,-3.779017,-0.068026,0.008692,0.996718,0.838585,3.223362,1.226529,0.06222,1.126011,0.818251,126.904473,6.639398,94.974376,19.875519,4.169925,4.169925,1,1,50.966738,22,9.820649,16.939469,1
3154.250345,1.171284,-0.681319,-0.958398,-0.055459,0.085156,0.905429,0.786985,1.335575,1.085186,1.541592,0.906275,0.990703,31.973074,4.677809,311.339846,8.235166,5.173252,5.173252,0.89081,0.89081,22.178652,186,10.910332,8.57366,1
2340.504067,0.349769,-0.471697,-18.983775,-0.082786,0.036209,0.94281,0.992493,0.995255,1.352199,1.306376,1.056099,1.090783,31.973074,4.626961,223.021567,6.890262,5.131556,5.131556,0.970892,0.970892,25.322958,111,10.714084,10.129123,1
2193.731856,-0.437541,-0.34779,-12.152173,0.006443,-0.05833,0.997279,1.296353,0.982026,0.72928,0.974763,0.87483,1.410434,31.972072,4.320537,241.419823,14.819493,5.142915,5.142915,0.931087,0.931087,18.42125,83,10.242172,7.807182,1
2460.68308,1.240375,0.644973,0.650693,0.242637,0.14638,0.686468,1.17857,1.820594,0.930698,1.074022,0.986689,1.095675,34.970156,3.719669,108.148464,8.763318,4.607264,4.607264,0.929972,0.929972,21.861332,26,9.912943,9.742299,1
2169.853463,-0.341666,-2.391332,-1.763016,-0.293103,-0.029365,1.492241,1.020716,0.839576,1.579494,0.896522,1.040863,0.802396,31.972072,4.687711,271.706607,12.896421,4.952591,4.952591,0.89663,0.89663,19.858854,154,10.918446,8.697755,1
2439.637881,-0.046846,-1.09262,-1.027367,-0.028638,-0.006979,0.910823,0.679661,0.816194,1.253448,0.740748,0.95074,0.735457,34.969381,5.724289,304.306646,38.292973,5.226251,5.265467,0.921343,0.928257,15.830058,169,10.452187,7.473741,1
5309.831492,1.242847,-5.153806,10.065513,-0.046722,0.028652,1.097022,1.084408,0.93278,1.177021,0.8488,1.054583,1.029673,16.011394,4.022388,709.782713,16.926914,6.449315,6.593036,0.903322,0.923452,13.401665,293,11.305938,6.493044,1
2069.989756,-0.429208,-0.121974,18.14423,-0.019345,-0.1178,1.029704,0.844906,1.073584,0.684159,1.174376,1.005274,0.923572,14.009835,5.999182,406.012066,26.217382,5.218296,5.268221,0.866486,0.874776,10.276941,269,10.725028,6.373513,1
2494.182847,-1.535645,13.322626,109.115261,-0.065615,-0.049868,0.883751,0.816216,1.039062,0.81104,0.817239,1.086572,1.061247,19.00478,3.690491,395.892121,11.727118,5.198245,5.267211,0.887378,0.899151,21.140563,178,10.827826,9.209486,1
1815.183065,-0.22324,-0.282911,4.058865,-0.037822,-0.072616,0.871621,1.357093,1.420147,1.740276,1.471743,1.17027,1.122787,31.972072,6.236129,202.690047,12.152116,4.887716,4.99028,0.924758,0.944163,14.989878,68,10.15483,7.874438,1
2632.284394,-0.87122,-0.607798,8.032061,-0.162568,-0.072343,1.106216,0.919547,0.752475,0.887776,0.837382,0.944717,0.907607,31.972073,5.137419,341.731245,11.216161,5.146184,5.392127,0.878491,0.920475,16.357961,145,10.736223,7.606224,1
